,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,State,APPI-Neg-S14-1962,APPI-Neg-S14-2196,ESI-Neg-S14-1941,ESI-Neg-S14-1944,ESI-Neg-S14-1962,ESI-Neg-S14-2196,LDI-Neg-S14-1941,LDI-Neg-S14-1944,LDI-Neg-S14-1962,LDI-Neg-S14-2196,APCI-Neg-S14-1941,APCI-Neg-S14-1944,APCI-Neg-S14-1962,APCI-Neg-S14-2196,APPI-Neg-S14-1941,APPI-Neg-S14-1944
0,100.33334333333299,0,0,0,0,0,0,0,0,,None,101.34061980021299,0.0,0,,0,0,0,0,0,0,3285251,0,0,0,4225783,0,0,0,7558655,0
1,103.00371,0,0,0,0,0,0,0,0,,None,104.01098646688,0.0,0,,0,0,4016940,0,2600138,0,0,0,0,0,0,0,0,0,0,0
2,111.00879499999999,5,4,3,0,0,0,0,0,CHO,Lignin,112.01607146687999,-0.24525212886184197,1,H-,0,0,8356169,0,4593700,0,0,0,0,0,0,0,0,0,0,0
3,113.02441,5,6,3,0,0,0,0,0,CHO,Lignin,114.03168646688,0.0665781611479099,1,H-,0,0,0,0,0,0,0,0,0,0,0,2801475,0,0,0,0
4,125.02441,6,6,3,0,0,0,0,0,CHO,Lignin,126.03168646688,0.0602389780728276,1,H-,0,0,0,0,0,0,0,0,0,0,0,2424792,0,0,0,0
5,129.019345,5,6,4,0,0,0,0,0,CHO,Tannin,130.02662146688,-0.0983327863502046,1,H-,0,0,3652353,0,3725057,0,0,0,0,0,0,0,0,0,0,0
6,130.99862,0,0,0,0,0,0,0,0,,None,132.00589646688,0.0,0,,0,0,3372727,0,0,0,0,0,0,0,0,0,0,0,0,0
7,133.05065,5,10,4,0,0,0,0,0,CHO,Carb,134.05792646688,-0.131715299885477,1,H-,0,0,0,0,2526711,0,0,0,0,0,0,0,0,0,0,0
8,137.00603,0,0,0,0,0,0,0,0,,None,138.01330646688,0.0,0,,0,0,0,0,0,0,4311542,0,0,0,0,0,0,0,0,0
9,142.50211000000002,0,0,0,0,0,0,0,0,,None,143.50938646688,0.0,0,,0,0,0,0,0,0,4074724,0,0,0,0,0,0,0,0,0
10,143.107765,8,16,2,0,0,0,0,0,CHO,Lipid,144.11504146688,-0.0812481467747854,1,H-,0,0,4799377,6999521,9885843,30727686,0,0,0,0,0,0,0,0,0,0
11,144.11112,7,16,2,0,1,0,0,0,CHO,Lipid,145.11839646688,-0.0818041013256366,0,H-,0,0,0,0,0,5050901,0,0,0,0,0,0,0,0,0,0
12,145.05064,6,10,4,0,0,0,0,0,CHO,AminoSugar,146.05791646688,-0.0524276955927448,1,H-,0,0,0,0,3411637,0,0,0,0,0,0,0,0,0,0,0
13,147.029905,5,8,5,0,0,0,0,0,CHO,Carb,148.03718146687999,-0.054713146427183,1,H-,0,0,8127214,0,6938351,0,0,0,0,0,0,0,3059009,0,2413638,0
14,147.04515,9,8,2,0,0,0,0,0,CHO,Lignin,148.05242646688,0.0204935513129215,1,H-,0,0,0,0,0,0,0,0,0,0,2419580,0,2956354,0,0,0
15,147.066295,6,12,4,0,0,0,0,0,CHO,AminoSugar,148.07357146688,-0.085047452384897,1,H-,0,0,6303471,0,7668464,0,0,0,0,0,0,0,0,0,0,0
16,149.00773,0,0,0,0,0,0,0,0,,None,150.01500646688,0.0,0,,0,0,3014976,0,0,0,0,0,0,0,0,0,0,0,0,0
17,149.008503775,0,0,0,0,0,0,0,0,,None,150.01578024188,0.0,0,,3711383,0,15202111,0,10841920,0,0,0,0,0,0,0,0,0,7898001,0
18,149.009163471429,0,0,0,0,0,0,0,0,,None,150.016439938309,0.0,0,,48836248,0,196958016,11371656,137672512,0,0,0,0,0,12990412,0,7292566,0,92393872,0
