Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,ESI-Neg-S14-1944,ESI-Neg-S14-1962,ESI-Neg-S14-2196,LDI-Neg-S14-1941,LDI-Neg-S14-1944,LDI-Neg-S14-1962,LDI-Neg-S14-2196,APCI-Neg-S14-1941,APCI-Neg-S14-1944,APCI-Neg-S14-1962,APCI-Neg-S14-2196,APPI-Neg-S14-1941,APPI-Neg-S14-1944,APPI-Neg-S14-1962,APPI-Neg-S14-2196,ESI-Neg-S14-1941
100.333343333333,0,0,0,0,0,0,0,0,,None,100.332794753424,0,0,0,0,0,3285251,0,0,0,4225783,0,0,0,7558655,0,0,0,0
103.00371,0,0,0,0,0,0,0,0,,None,103.003161420091,0,0,0,2600138,0,0,0,0,0,0,0,0,0,0,0,0,0,4016940
111.008795,0,0,0,0,0,0,0,0,,None,111.008246420091,0,0,0,4593700,0,0,0,0,0,0,0,0,0,0,0,0,0,8356169
113.02441,0,0,0,0,0,0,0,0,,None,113.023861420091,0,0,0,0,0,0,0,0,0,0,2801475,0,0,0,0,0,0,0
125.02441,0,0,0,0,0,0,0,0,,None,125.023861420091,0,0,0,0,0,0,0,0,0,0,2424792,0,0,0,0,0,0,0
129.019345,0,0,0,0,0,0,0,0,,None,129.018796420091,0,0,0,3725057,0,0,0,0,0,0,0,0,0,0,0,0,0,3652353
130.99862,0,0,0,0,0,0,0,0,,None,130.998071420091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3372727
133.05065,0,0,0,0,0,0,0,0,,None,133.050101420091,0,0,0,2526711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137.00603,0,0,0,0,0,0,0,0,,None,137.005481420091,0,0,0,0,0,4311542,0,0,0,0,0,0,0,0,0,0,0,0
142.50211,0,0,0,0,0,0,0,0,,None,142.501561420091,0,0,0,0,0,4074724,0,0,0,0,0,0,0,0,0,0,0,0
143.107765,0,0,0,0,0,0,0,0,,None,143.107216420091,0,0,6999521,9885843,30727686,0,0,0,0,0,0,0,0,0,0,0,0,4799377
144.11112,0,0,0,0,0,0,0,0,,None,144.110571420091,0,0,0,0,5050901,0,0,0,0,0,0,0,0,0,0,0,0,0
145.05064,0,0,0,0,0,0,0,0,,None,145.050091420091,0,0,0,3411637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147.029905,0,0,0,0,0,0,0,0,,None,147.029356420091,0,0,0,6938351,0,0,0,0,0,0,0,3059009,0,2413638,0,0,0,8127214
147.04515,0,0,0,0,0,0,0,0,,None,147.044601420091,0,0,0,0,0,0,0,0,0,2419580,0,2956354,0,0,0,0,0,0
147.066295,0,0,0,0,0,0,0,0,,None,147.065746420091,0,0,0,7668464,0,0,0,0,0,0,0,0,0,0,0,0,0,6303471
149.00773,0,0,0,0,0,0,0,0,,None,149.007181420091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3014976
149.008503775,0,0,0,0,0,0,0,0,,None,149.007955195091,0,0,0,10841920,0,0,0,0,0,0,0,0,0,7898001,0,3711383,0,15202111
149.009163471429,0,0,0,0,0,0,0,0,,None,149.008614891519,0,0,11371656,137672512,0,0,0,0,0,12990412,0,7292566,0,92393872,0,48836248,0,196958016
149.024416,0,0,0,0,0,0,0,0,,None,149.023867420091,0,0,0,2712641,0,0,0,0,0,4559053,2551861,6656663,2611446,0,0,0,0,0
149.045555,0,0,0,0,0,0,0,0,,None,149.045006420091,0,0,4077194,6747970,4939946,0,0,0,0,0,0,0,0,0,0,0,0,4479809
149.06081,0,0,0,0,0,0,0,0,,None,149.060261420091,0,0,0,2762307,0,0,0,0,0,0,2551479,3362713,0,0,0,0,0,0
149.50995,0,0,0,0,0,0,0,0,,None,149.509401420091,0,0,0,0,0,2452523,0,0,0,0,0,0,0,0,0,0,0,0
149.99564,0,0,0,0,0,0,0,0,,None,149.995091420091,0,0,0,0,0,5323716,0,2628459,0,0,0,0,0,0,0,0,0,0
149.99649,0,0,0,0,0,0,0,0,,None,149.995941420091,0,0,0,0,0,2628291,0,0,0,0,0,0,0,0,0,0,0,0
150.012519275,0,0,0,0,0,0,0,0,,None,150.011970695091,0,0,0,6496115,0,0,0,0,0,0,0,0,0,3385280,0,2373949,0,10372979
150.03225,8,6,3,0,0,0,0,0,CHO,ConHC,150.031701420091,-0.049064234231847,1,0,0,0,0,0,0,0,2814720,0,3688653,0,0,0,0,0,0
