m/z	I	S/N	Res.	I %	
100.33333	4225783	20.0	1198213	0.3	
147.04515	2419580	10.6	962487	0.2	
149.00916	12990412	65.5	850367	1.0	
149.02442	4559053	21.7	893521	0.3	
150.03226	2814720	12.6	925017	0.2	
151.04007	15581241	79.0	836508	1.2	
152.01150	2447479	10.7	964580	0.2	
153.01933	15691966	79.6	834908	1.2	
153.05572	5380289	26.0	888342	0.4	
154.02715	2825229	12.7	860643	0.2	
155.03498	4301668	20.4	898692	0.3	
157.01425	3181605	14.5	870223	0.2	
157.05063	6159401	30.0	835342	0.5	
157.12341	5549105	26.9	796766	0.4	
159.02990	13761291	69.5	800062	1.0	
160.03774	2639499	11.7	863685	0.2	
161.02442	4087826	19.2	842763	0.3	
161.04555	15275028	77.4	783616	1.2	
162.03225	12274852	61.6	778481	0.9	
162.05338	4408999	20.8	822444	0.3	
163.04007	14017855	70.6	778947	1.1	
163.06120	25513282	130.1	766130	1.9	
164.01152	2784990	12.4	723318	0.2	
164.04789	7816164	38.4	753766	0.6	
165.01933	6585995	32.0	796523	0.5	
165.05572	9289362	46.0	778279	0.7	
166.02716	14503746	72.9	768667	1.1	
166.99860	6146042	29.6	761291	0.5	
167.03498	19380226	97.7	762489	1.5	
167.07137	4510728	21.2	807262	0.3	
168.00642	22702274	114.8	742128	1.7	
168.04280	16949450	85.2	744701	1.3	
168.07921	2854609	12.7	814919	0.2	
169.01345	2882707	12.8	725438	0.2	
169.01425	31666578	160.4	742180	2.4	
169.05062	5897626	28.3	775580	0.4	
169.08702	3037090	13.6	921857	0.2	
169.12340	4574122	21.5	787594	0.3	
170.01761	2426475	10.5	786757	0.2	
171.02991	4928846	23.3	701704	0.4	
171.10268	4955998	23.4	749859	0.4	
171.13823	6298470	30.3	793853	0.5	
171.13879	5112679	24.2	1555623	0.4	
171.13905	76030824	387.8	731269	5.8	
171.13932	6462311	31.1	1380059	0.5	
172.14241	8509520	41.5	756794	0.6	
173.00916	6116129	29.3	752057	0.5	
173.04555	5485354	26.0	742604	0.4	
173.08194	2608691	11.4	854837	0.2	
174.03225	2507295	10.8	918625	0.2	
175.02481	9585438	46.8	745478	0.7	
175.04007	5799714	27.5	780720	0.4	
176.01151	5009954	23.5	743708	0.4	
176.10636	7584828	36.6	747706	0.6	
177.01934	12058932	59.4	706660	0.9	
177.03958	4204858	19.4	833865	0.3	
177.04046	45152568	227.8	704694	3.4	
177.05483	7775550	37.6	792700	0.6	
177.05572	93112640	471.9	702268	7.0	
177.05600	7729470	37.4	1033012	0.6	
178.02716	6589006	31.4	714209	0.5	
178.04829	11575892	56.7	714182	0.9	
178.05907	11222615	54.9	702550	0.8	
178.06355	6427224	30.6	723069	0.5	
178.99859	5315941	25.0	717403	0.4	
179.03410	3578735	16.2	769760	0.3	
179.03498	37292912	187.1	709776	2.8	
179.05521	3494261	15.7	759103	0.3	
179.05611	46115700	231.8	701807	3.5	
179.07137	8315770	40.2	715546	0.6	
179.10774	2465156	10.5	686994	0.2	
180.03835	3822743	17.4	740557	0.3	
180.04280	8477848	41.0	704619	0.6	
180.05949	3144861	14.0	707626	0.2	
181.01424	7693757	36.9	715836	0.6	
181.04971	9095624	44.0	764959	0.7	
181.05063	102804936	517.2	689813	7.8	
181.07177	4890575	22.7	644032	0.4	
181.08702	5318099	24.9	699959	0.4	
182.02208	9028340	43.6	708768	0.7	
182.04587	3163644	14.0	672985	0.2	
182.05399	10145534	49.3	667493	0.8	
182.05847	3680512	16.6	690849	0.3	
183.02990	14057523	69.0	702409	1.1	
183.06629	6306878	29.9	701814	0.5	
183.10266	3586634	16.1	661664	0.3	
184.00133	2439020	10.3	728952	0.2	
184.03772	5564792	26.0	712615	0.4	
185.00916	3317945	14.7	755221	0.3	
185.04555	9501381	45.8	698256	0.7	
185.08194	3482321	15.6	819556	0.3	
185.11832	10459869	50.6	689009	0.8	
185.15469	3055337	13.4	710960	0.2	
187.02479	2843750	12.3	637819	0.2	
187.04007	2986347	13.1	697357	0.2	
187.09758	5156735	24.0	678557	0.4	
187.13299	2601867	11.1	786462	0.2	
187.13397	27112844	134.4	669678	2.1	
188.04788	2846412	12.3	838893	0.2	
188.13733	2907883	12.6	708637	0.2	
189.01934	4922918	22.7	687205	0.4	
189.04046	17088558	83.6	665187	1.3	
189.05571	4663859	21.4	667492	0.4	
190.02715	4442003	20.3	697442	0.3	
190.06355	4966817	22.9	668158	0.4	
190.99860	2766073	11.8	718138	0.2	
191.01973	21814018	106.8	666260	1.7	
191.03399	2981639	12.9	745368	0.2	
191.03498	33340166	164.3	657627	2.5	
191.05612	6197007	28.9	696491	0.5	
191.07137	17601300	85.8	647296	1.3	
192.00640	4036723	18.2	715278	0.3	
192.03831	3633791	16.2	700879	0.3	
192.04281	15713409	76.4	650761	1.2	
192.07470	2731405	11.7	577792	0.2	
192.07919	5986447	27.9	692840	0.5	
193.01425	15212019	73.9	650803	1.2	
193.03538	29818364	146.7	640835	2.3	
193.04958	8195585	38.9	718563	0.6	
193.05063	102022656	506.8	646585	7.7	
193.05097	9289217	44.4	1083705	0.7	
193.98568	4093803	18.5	676596	0.3	
194.02208	4802425	22.0	699300	0.4	
194.03878	2443904	10.2	647411	0.2	
194.05398	12799877	61.9	650561	1.0	
194.05739	2740103	11.7	688524	0.2	
194.05845	33001352	162.6	644979	2.5	
194.99351	19323126	94.0	642276	1.5	
195.02989	17582340	85.3	645534	1.3	
195.05103	7572749	35.6	662763	0.6	
195.06181	3536658	15.6	720832	0.3	
195.06522	6996243	32.8	755428	0.5	
