m/z	I	S/N	Res.	I %	
149.0085851	3711383	23.1	902096	0.9	
149.0091643	48836248	328.7	844317	11.6	
150.0125271	2373949	14.1	837239	0.6	
159.0298992	3543305	22.0	836048	0.8	
161.0455511	8442320	55.1	785706	2.0	
165.0404654	3862446	24.0	819762	0.9	
169.0134871	2444275	14.4	834549	0.6	
169.0142485	29074930	192.8	740426	6.9	
170.0176064	2623637	15.6	743653	0.6	
173.0091649	6766751	43.2	740736	1.6	
175.0248018	3828253	23.5	794302	0.9	
175.0612055	3123236	18.8	732305	0.7	
177.0193382	2403502	14.0	828446	0.6	
177.0401749	4387763	27.2	1611576	1.0	
177.0404640	53922740	357.2	709953	12.8	
177.0407467	3957683	24.4	1197938	0.9	
178.0438199	4196485	25.9	746857	1.0	
179.0349851	4462939	27.7	715242	1.1	
179.0552139	2386271	13.9	750859	0.6	
179.0561149	26484064	173.9	708183	6.3	
181.0142298	2587925	15.2	739535	0.6	
181.0506372	4504861	27.8	693502	1.1	
185.0455427	2415065	14.0	732246	0.6	
191.0197291	17512706	112.8	649962	4.1	
191.0349816	3104518	18.4	691480	0.7	
191.0561114	7490828	47.1	670253	1.8	
193.0142489	3748660	22.6	690415	0.9	
193.0353755	39484220	256.9	649180	9.4	
193.0357129	3097403	18.3	1519828	0.7	
193.0506235	4905791	30.2	631939	1.2	
194.9935147	3233652	19.2	659484	0.8	
195.0299060	3750270	22.5	657837	0.9	
195.0510237	71327112	464.1	638433	16.9	
196.0543924	5135023	31.6	636959	1.2	
197.0455436	11616217	73.9	632269	2.8	
201.0404636	2735795	15.8	702201	0.6	
203.0561299	2865979	16.6	705669	0.7	
205.0353726	15083974	95.9	602880	3.6	
205.0506297	2321611	13.1	627402	0.5	
207.0298682	3188834	18.6	648735	0.8	
207.0510165	6345834	39.0	618832	1.5	
207.0662930	7263343	44.9	603391	1.7	
209.0091569	2789638	16.0	634462	0.7	
209.0455366	5699347	34.8	618257	1.3	
209.0666892	4933402	29.9	603532	1.2	
211.0248131	5350850	32.5	613784	1.3	
211.0611983	4863439	29.3	633466	1.2	
213.0404581	3647113	21.5	608321	0.9	
215.0561148	4485979	26.8	620297	1.1	
219.0298980	2857222	16.3	583703	0.7	
219.0510267	43605260	277.4	566570	10.3	
219.0662909	2408723	13.4	541096	0.6	
220.0543576	3971201	23.4	559630	0.9	
221.0091823	5158885	30.9	590134	1.2	
221.0455496	5008371	30.0	605029	1.2	
221.0666815	17178618	107.6	573510	4.1	
222.9884499	2609356	14.7	584091	0.6	
223.0248104	4116186	24.3	562759	1.0	
223.0459407	3453666	20.0	609215	0.8	
223.0612066	5448423	32.8	567950	1.3	
223.9962333	2667593	15.0	566076	0.6	
225.0404709	6138325	37.0	581207	1.5	
225.0768502	4607459	27.3	540535	1.1	
227.0561316	5376216	32.2	568295	1.3	
229.0717518	3836895	22.3	586775	0.9	
231.0510352	2640094	14.7	569687	0.6	
233.0455412	3590631	20.7	568682	0.9	
233.0666709	5040623	29.9	533747	1.2	
235.0248186	7112942	42.8	533878	1.7	
235.0612096	3520764	20.2	590726	0.8	
237.0040821	2678263	14.9	515807	0.6	
237.0404687	5467141	32.4	558415	1.3	
237.0615870	13510670	83.0	537862	3.2	
237.0768661	3329044	18.9	558753	0.8	
239.0197356	8229649	49.8	538052	1.9	
239.0561166	6596383	39.5	528057	1.6	
239.0772477	3803944	21.9	567840	0.9	
241.0353777	7882285	47.3	524426	1.9	
241.0717639	6487611	38.6	507977	1.5	
243.0510067	3628873	20.7	496583	0.9	
245.0666896	5752934	34.0	541057	1.4	
246.0169501	2430429	13.1	492109	0.6	
246.9884199	6419293	38.0	523721	1.5	
247.0248046	19793772	121.2	492720	4.7	
247.0611671	3174266	17.8	574513	0.8	
247.0823353	6885250	40.9	528173	1.6	
249.0040713	2763896	15.2	537973	0.7	
249.0404575	6046343	35.6	499674	1.4	
249.0615904	9069199	54.5	487112	2.1	
249.0768473	3262101	18.3	549220	0.8	
251.0197204	5182866	30.3	518562	1.2	
251.0561145	9004448	54.0	491177	2.1	
251.0772328	15429032	94.0	496390	3.7	
253.0353781	4995240	28.9	512718	1.2	
253.0564880	4864177	28.1	481114	1.2	
253.0717561	6836407	40.3	496739	1.6	
255.0510199	5052348	29.3	484231	1.2	
255.0721497	2736580	14.9	512110	0.6	
255.0874343	2957258	16.3	541383	0.7	
257.0666807	6013644	35.2	477026	1.4	
259.0248218	2590656	13.9	559150	0.6	
259.0611859	3506638	19.6	477075	0.8	
259.0823291	3487190	19.5	479062	0.8	
261.0040757	38010040	231.9	473718	9.0	
261.0047013	2968761	16.3	966446	0.7	
261.0404330	4432070	25.3	476743	1.0	
261.0615741	3427534	19.1	514320	0.8	
261.0768172	4120788	23.4	488692	1.0	
262.0074209	4469303	25.5	498864	1.1	
262.0118869	6112825	35.6	482632	1.4	
263.0197248	5219256	30.1	472661	1.2	
263.0561153	7964614	47.0	480936	1.9	
263.0772131	6358990	37.1	495475	1.5	
264.9990041	2902692	15.7	471665	0.7	
265.0353734	8221362	48.3	466450	1.9	
265.0565234	2472634	13.1	531246	0.6	
265.0717646	5848767	33.8	482772	1.4	
267.0510129	8852900	52.1	492470	2.1	
267.0701423	2651563	14.2	580563	0.6	
267.0721486	28353964	171.5	458762	6.7	
267.0874110	3235249	17.8	509613	0.8	
268.0588771	2859290	15.5	442728	0.7	
268.0755313	3082528	16.8	459107	0.7	
269.0302797	6609024	38.4	475451	1.6	
269.0666686	10948750	65.0	466245	2.6	
269.0877955	14821525	88.7	446706	3.5	
271.0459435	17980258	107.3	452253	4.3	
271.0823308	6353775	36.6	460795	1.5	
272.0493086	2515149	13.3	499417	0.6	
273.0404547	3424818	18.8	469176	0.8	
273.0615935	3918394	21.8	483356	0.9	
273.0768637	3103295	16.9	479605	0.7	
275.0197240	8179955	47.7	464663	1.9	
275.0561226	4730112	26.7	464896	1.1	
275.0772493	5799176	33.2	432395	1.4	
277.0353840	8397750	49.0	459036	2.0	
277.0717635	5798851	33.2	472313	1.4	
277.0928885	3515338	19.3	482534	0.8	
279.0146407	3268194	17.7	463875	0.8	
279.0510189	7013998	40.3	468753	1.7	
279.0721429	4241014	23.6	478552	1.0	
279.0873905	4352635	24.3	477447	1.0	
281.0302985	4361486	24.3	450190	1.0	
281.0666937	7704858	44.5	449479	1.8	
281.0877952	17889568	106.0	437472	4.2	
282.0910842	2383984	12.4	461636	0.6	
283.0459473	6106029	34.9	456667	1.4	
283.0823146	5884857	33.5	437901	1.4	
285.0040956	3042860	16.4	483774	0.7	
285.0404086	2767927	14.7	468680	0.7	
285.0615971	6606398	37.9	443230	1.6	
285.0979179	2570314	13.5	444437	0.6	
287.0197083	2606767	13.6	460265	0.6	
287.0561306	4735163	26.4	450954	1.1	
287.0772366	12390593	72.3	425763	2.9	
288.0850935	2518013	13.1	467325	0.6	
288.9989649	3032857	16.2	477137	0.7	
289.0353755	5119780	28.7	423528	1.2	
289.0717510	5079855	28.5	423476	1.2	
289.0929245	3915574	21.5	434577	0.9	
290.0067907	2809933	14.8	462950	0.7	
290.0881112	3046502	16.3	461345	0.7	
291.0146664	3109246	16.6	443690	0.7	
291.0510210	6198665	35.2	440385	1.5	
291.0721671	4531600	25.2	429872	1.1	
291.0874275	4544916	25.2	429155	1.1	
293.0302930	7157717	40.9	415355	1.7	
293.0666849	8521696	49.1	416701	2.0	
293.0878015	7417830	42.5	429873	1.8	
294.0380671	2439419	12.5	422583	0.6	
295.0459535	16652829	97.2	420155	3.9	
295.0823369	7815720	44.6	415737	1.9	
295.1034911	3524142	19.0	394138	0.8	
297.0616086	6296663	35.5	437049	1.5	
297.0826812	5450845	30.5	415226	1.3	
297.0979672	4706401	26.0	386595	1.1	
299.0197490	2549363	13.2	444371	0.6	
299.0561100	2963069	15.6	448164	0.7	
299.0772471	6600323	37.3	423295	1.6	
299.9911609	7227259	41.1	428296	1.7	
300.9964193	28586120	168.4	453135	6.8	
300.9989844	422260864	2515.1	405498	100.0	
301.0353917	4052114	22.1	422825	1.0	
301.0565040	8491160	48.6	423556	2.0	
301.0717525	6934684	39.3	415438	1.6	
301.0928758	4556962	25.1	432478	1.1	
302.0023455	63664528	377.5	404103	15.1	
303.0032085	6965911	39.2	421693	1.6	
303.0057314	4360856	23.8	406570	1.0	
303.0510050	5743268	32.0	419234	1.4	
303.0721811	7809705	44.2	419456	1.8	
303.0874028	4741805	26.1	444358	1.1	
305.0303024	10398879	59.5	404549	2.5	
305.0666754	7310505	41.3	408987	1.7	
305.0878038	16499886	95.6	401714	3.9	
306.0911466	2462634	12.6	401914	0.6	
306.0956273	3209643	17.0	404293	0.8	
307.0459316	18671256	108.5	402507	4.4	
307.0823068	8248993	46.8	397663	2.0	
307.1034177	2782886	14.5	450948	0.7	
308.0492536	2876302	15.0	487480	0.7	
309.0616026	7950468	45.0	401410	1.9	
309.0827060	7018633	39.5	414738	1.7	
309.0979764	5726349	31.9	398497	1.4	
311.0408261	8290908	47.0	382326	2.0	
311.0772444	10179173	58.2	392533	2.4	
311.0983750	9745002	55.7	393236	2.3	
313.0353419	2393133	12.0	475782	0.6	
313.0565093	20814898	120.3	389792	4.9	
313.0717773	3991605	21.4	402774	0.9	
313.0928856	7781434	43.7	411671	1.8	
314.0068143	4701451	25.6	385947	1.1	
314.0598365	2966807	15.4	411238	0.7	
314.0643143	10427672	59.3	400773	2.5	
315.0146324	38002160	221.3	388520	9.0	
315.0510321	5539319	30.5	393882	1.3	
315.0721537	27155964	157.5	396743	6.4	
315.0874105	4476415	24.3	440983	1.1	
315.1085329	3177988	16.7	425514	0.8	
316.0179705	5902031	32.7	407282	1.4	
316.0754614	3801820	20.3	376980	0.9	
316.9938848	5175207	28.4	377807	1.2	
317.0302911	7776175	43.7	380742	1.8	
317.0666827	9611191	54.4	398012	2.3	
317.0878160	5719995	31.6	393496	1.4	
317.1030373	3845055	20.6	397240	0.9	
318.0380772	4518027	24.5	396612	1.1	
319.0459395	18932068	109.2	386286	4.5	
319.0823206	7424364	41.6	394918	1.8	
319.1034383	3821937	20.4	395189	0.9	
320.0493114	3254842	17.1	393912	0.8	
320.0901346	2355267	11.8	428722	0.6	
321.0251997	4944648	27.0	407808	1.2	
321.0615982	8313616	46.8	389813	2.0	
321.0827064	15754004	90.5	382373	3.7	
321.0979704	5804824	32.1	392364	1.4	
323.0408309	9147562	51.3	390467	2.2	
323.0772319	12780722	72.5	387324	3.0	
323.0983743	38741172	223.8	378412	9.2	
323.1136777	3416249	17.9	392858	0.8	
324.0806405	2406782	12.0	371542	0.6	
324.0850234	2491775	12.5	428335	0.6	
324.1017710	4296067	23.0	383372	1.0	
324.9989991	7343672	40.8	385114	1.7	
325.0565019	7333443	40.7	392362	1.7	
325.0776472	6360647	35.1	379864	1.5	
325.0928854	9631306	54.1	383119	2.3	
325.1140033	3609166	19.0	393741	0.9	
327.0146579	3239879	16.9	390011	0.8	
327.0509829	4862927	26.3	382148	1.2	
327.0721603	6057939	33.3	402912	1.4	
327.0874034	5476310	29.9	388045	1.3	
327.0933025	3987415	21.2	397756	0.9	
327.1085647	5390298	29.4	372532	1.3	
327.1813217	6952936	38.5	379353	1.6	
328.9939683	2620744	13.3	366382	0.6	
329.0302976	15309135	87.2	382069	3.6	
329.0514015	3000659	15.5	386435	0.7	
329.0666714	6594902	36.4	373542	1.6	
329.0877751	9910618	55.8	372574	2.3	
329.1030421	3491165	18.3	377394	0.8	
329.2333341	3070326	15.9	401201	0.7	
330.0336411	2972175	15.3	444707	0.7	
330.0592567	2914836	15.0	374171	0.7	
330.0743868	2556438	12.9	392548	0.6	
331.0095094	2906823	14.9	356792	0.7	
331.0459215	5780174	31.7	386557	1.4	
331.0670680	79907536	463.8	369677	18.9	
331.0823200	9779925	55.0	375686	2.3	
331.1034765	6425305	35.4	386089	1.5	
332.0703994	11316110	63.4	364644	2.7	
332.0902028	2752402	13.9	397031	0.7	
333.0252083	14740543	83.2	371340	3.5	
333.0615924	12610629	70.9	373170	3.0	
333.0826851	3554377	18.5	381771	0.8	
333.0979681	7144524	39.3	390145	1.7	
334.0285334	2617079	13.1	355681	0.6	
334.0330291	6122744	33.4	361997	1.4	
334.0649110	2714878	13.7	385515	0.6	
334.0694130	3135742	16.1	410847	0.7	
335.0408390	7880111	43.5	374095	1.9	
335.0772323	9104821	50.6	374473	2.2	
335.0983993	5096889	27.5	376000	1.2	
335.1136077	3324348	17.2	414409	0.8	
337.0565056	5506840	29.8	380739	1.3	
337.0776078	3019547	15.4	352279	0.7	
337.0928813	10077982	56.3	347707	2.4	
337.1140304	4320034	23.0	386831	1.0	
339.0145903	3574895	18.7	396771	0.8	
339.0721641	15949945	90.2	368423	3.8	
339.0932922	23720062	135.1	359664	5.6	
339.1085663	6312064	34.5	378827	1.5	
340.0755377	2467111	12.2	357283	0.6	
340.0799858	3346728	17.3	396037	0.8	
340.0966851	2988331	15.3	412260	0.7	
341.0303244	4754891	25.5	364289	1.1	
341.0666372	4510162	24.1	367613	1.1	
341.0878261	12456405	70.0	366206	2.9	
341.1089309	85021144	489.5	355414	20.1	
341.1242347	2674651	13.4	348582	0.6	
342.1122814	10945155	61.3	361899	2.6	
343.0094969	3557147	18.4	387473	0.8	
343.0459441	5045025	26.9	374878	1.2	
343.0671354	3042084	15.4	395267	0.7	
343.0823145	6138663	33.2	373930	1.5	
343.1034460	8981290	49.5	350231	2.1	
344.0903132	2576336	12.8	356072	0.6	
345.0251646	9823338	54.3	359511	2.3	
345.0615852	13345905	74.5	361991	3.2	
345.0827276	5104756	27.3	380886	1.2	
345.0980067	7146615	39.0	368036	1.7	
345.1190772	2757754	13.8	361341	0.7	
345.2282435	2886796	14.5	416681	0.7	
345.9967018	3854603	20.1	382368	0.9	
346.0694209	3834135	20.0	376336	0.9	
346.1058336	2839836	14.3	359782	0.7	
347.0408017	3657141	19.0	350847	0.9	
347.0772460	30250426	171.4	356937	7.2	
347.0983650	5989823	32.3	370495	1.4	
347.1135816	5297601	28.4	363062	1.3	
348.0806016	4828766	25.7	356325	1.1	
348.0849996	3241566	16.6	368231	0.8	
349.0564868	7579387	41.4	341845	1.8	
349.0928681	10737408	59.5	352941	2.5	
349.1140197	3578628	18.5	389324	0.8	
351.0357442	3579958	18.5	380025	0.8	
351.0721614	7936060	43.5	355269	1.9	
351.0933132	3067967	15.6	389548	0.7	
351.1085588	7221313	39.4	349880	1.7	
353.0513752	3579250	18.5	356554	0.8	
353.0725089	2746742	13.7	355718	0.7	
353.0878172	9699704	53.6	343770	2.3	
353.1089456	6377851	34.5	361035	1.5	
353.1241111	3551614	18.3	335908	0.8	
354.0955993	2501141	12.3	364041	0.6	
355.0459706	3348136	17.0	344427	0.8	
