m/z	I	S/N	Res.	A %	I %	
103.00371	4016940	18.9	1297630	0.0	0.7	
111.00880	8356169	41.5	1144607	0.1	1.4	
129.01935	3652353	17.0	995268	0.1	0.6	
130.99862	3372727	15.6	1056757	0.1	0.6	
143.10778	4799377	23.0	933106	0.1	0.8	
147.02990	8127214	40.3	900530	0.2	1.4	
147.06630	6303471	30.8	892038	0.1	1.1	
149.00773	3014976	13.7	893077	0.1	0.5	
149.00843	15202111	77.1	904174	0.4	2.6	
149.00917	196958016	1022.9	833580	5.3	33.1	
149.04556	4479809	21.3	879947	0.1	0.8	
150.01252	10372979	52.0	850449	0.3	1.7	
151.00370	3159468	14.4	810626	0.1	0.5	
151.01341	3528621	16.4	847706	0.1	0.6	
151.04008	8243119	40.9	862556	0.2	1.4	
152.01150	3014126	13.7	895475	0.1	0.5	
153.01933	10077238	50.4	836768	0.3	1.7	
153.05572	8887353	44.3	843005	0.2	1.5	
156.06662	4559170	21.7	846178	0.1	0.8	
157.01425	4042148	19.0	933805	0.1	0.7	
157.04980	4245928	20.1	840941	0.1	0.7	
157.05063	51861928	267.9	787908	1.6	8.7	
157.05086	4657576	22.2	1475112	0.1	0.8	
157.12341	17809840	90.7	805174	0.5	3.0	
158.05398	4463384	21.2	778611	0.1	0.7	
159.02905	5999758	29.2	865063	0.2	1.0	
159.02990	77642384	401.7	788183	2.3	13.0	
159.03013	7314062	36.0	910730	0.2	1.2	
160.03325	5114640	24.6	804126	0.1	0.9	
161.02441	3730329	17.4	867570	0.1	0.6	
161.04555	20036508	102.2	776984	0.6	3.4	
162.03225	5724718	27.7	735326	0.2	1.0	
163.02481	2693065	12.0	818154	0.1	0.5	
163.04007	13936844	70.3	747324	0.5	2.3	
163.06120	9734351	48.5	792308	0.3	1.6	
165.01933	5821470	28.1	821222	0.2	1.0	
165.04045	7491618	36.7	703350	0.3	1.3	
165.05572	7346724	36.0	816469	0.2	1.2	
166.02715	10316503	51.3	759053	0.3	1.7	
167.00199	2646164	11.7	801781	0.1	0.4	
167.03498	16590746	83.5	761451	0.6	2.8	
168.00642	2951774	13.2	890391	0.1	0.5	
168.98122	2751276	12.2	755375	0.1	0.5	
169.01234	3132210	14.1	841640	0.1	0.5	
169.01327	14614834	73.1	787375	0.5	2.5	
169.01425	216883504	1112.2	743818	7.5	36.4	
169.05063	7215419	35.1	747216	0.2	1.2	
169.12341	2488650	10.8	872058	0.1	0.4	
170.01760	16577039	83.2	733747	0.6	2.8	
170.99690	3502061	16.0	717758	0.1	0.6	
171.02990	2941173	13.1	871966	0.1	0.5	
171.06627	3358462	15.3	800970	0.1	0.6	
171.10266	2601734	11.4	742409	0.1	0.4	
171.13711	3168526	14.3	807609	0.1	0.5	
171.13805	18166542	91.3	803160	0.6	3.1	
171.13905	261939984	1343.7	727544	9.4	44.0	
172.14241	29479932	149.0	727143	1.1	5.0	
173.00916	46027984	233.7	719230	1.7	7.7	
173.00943	3855568	17.8	1482120	0.1	0.6	
173.04554	11749593	58.2	743593	0.4	2.0	
174.01251	2993613	13.3	737352	0.1	0.5	
175.00555	4457680	20.8	696235	0.1	0.7	
175.02481	10686165	52.6	710186	0.4	1.8	
175.06014	2928862	13.0	872450	0.1	0.5	
175.06120	43669216	220.9	719554	1.7	7.3	
176.06454	3249388	14.6	645124	0.1	0.5	
177.01933	24758516	124.4	708657	1.0	4.2	
177.03834	2924793	12.9	744071	0.1	0.5	
177.03939	17375482	86.7	773458	0.6	2.9	
177.04046	260991232	1329.9	708101	9.8	43.8	
177.05572	16156926	80.5	720418	0.6	2.7	
178.02271	2526224	10.9	814211	0.1	0.4	
178.04381	16816662	83.6	707429	0.7	2.8	
178.96318	4351266	20.2	688452	0.2	0.7	
178.99859	31882028	160.2	694046	1.3	5.4	
179.03497	17326902	86.1	707793	0.7	2.9	
179.04470	3395386	15.3	712020	0.1	0.6	
179.05611	37722940	189.9	708288	1.5	6.3	
179.05640	3715901	16.9	1154883	0.1	0.6	
179.07136	4928834	23.1	751061	0.2	0.8	
180.00193	2795864	12.2	713209	0.1	0.5	
180.04277	2723684	11.9	697461	0.1	0.5	
180.05945	2536553	10.9	775594	0.1	0.4	
181.01424	29117836	145.6	694347	1.2	4.9	
181.05063	39955864	200.5	694182	1.6	6.7	
181.05094	3521944	15.9	1225193	0.1	0.6	
181.07176	7103903	34.0	698411	0.3	1.2	
182.01759	3173063	14.1	750893	0.1	0.5	
182.02206	3695305	16.8	640436	0.2	0.6	
182.05398	4076243	18.7	723211	0.1	0.7	
183.02989	28450828	142.2	688372	1.2	4.8	
183.06628	3629591	16.4	758816	0.1	0.6	
185.02777	6908576	32.9	679113	0.3	1.2	
185.04555	7220902	34.5	697521	0.3	1.2	
185.08193	12243634	59.8	685770	0.5	2.1	
185.11832	6414014	30.4	681128	0.2	1.1	
186.07717	3469829	15.5	652391	0.1	0.6	
187.02479	4233551	19.4	711313	0.2	0.7	
187.06120	4007259	18.3	705656	0.1	0.7	
187.09757	4970344	23.1	657363	0.2	0.8	
189.04046	8505374	40.8	649258	0.4	1.4	
189.05758	7467044	35.6	665516	0.3	1.3	
189.07683	5879851	27.6	649959	0.2	1.0	
190.99859	2768113	11.9	719053	0.1	0.5	
191.01845	2875129	12.4	710810	0.1	0.5	
191.01972	49650424	246.8	652020	2.3	8.3	
191.03497	15397631	75.2	671941	0.7	2.6	
191.05611	22694662	111.7	658675	1.0	3.8	
191.07134	5624589	26.2	664428	0.2	0.9	
192.02306	3277429	14.5	743056	0.1	0.6	
192.04283	3117181	13.7	657898	0.1	0.5	
193.01424	19512818	95.8	651168	0.9	3.3	
193.03537	45768188	227.3	646587	2.1	7.7	
193.03570	4113915	18.6	1216955	0.1	0.7	
193.05063	18005504	88.2	658260	0.8	3.0	
194.01758	2495866	10.5	735754	0.1	0.4	
194.03871	2783618	12.0	664083	0.1	0.5	
194.99350	8706300	41.5	679691	0.4	1.5	
194.99687	15888637	77.3	656905	0.7	2.7	
195.02989	34066700	168.0	644359	1.6	5.7	
195.04969	8591635	40.9	727279	0.3	1.4	
195.05102	159056144	791.6	637302	7.3	26.7	
195.05136	12878099	62.3	1038900	0.4	2.2	
195.06627	17961242	87.6	655616	0.8	3.0	
196.00134	2722961	11.6	758959	0.1	0.5	
196.03323	3414174	15.1	712673	0.1	0.6	
196.05437	9528998	45.6	628977	0.4	1.6	
197.00915	14203947	68.9	648947	0.7	2.4	
197.01252	7597101	35.9	662273	0.3	1.3	
197.04287	3621945	16.1	659236	0.2	0.6	
197.04419	22004794	107.8	680601	1.0	3.7	
197.04554	388367424	1935.7	630523	18.6	65.2	
197.04703	7679035	36.3	708173	0.3	1.3	
197.04892	2479163	10.4	767411	0.1	0.4	
197.05525	2517054	10.6	685336	0.1	0.4	
197.08193	3341385	14.7	609775	0.1	0.6	
197.15472	2516071	10.6	684366	0.1	0.4	
198.04889	38020568	187.7	635572	1.8	6.4	
198.04925	3468760	15.3	1228020	0.1	0.6	
199.02480	5757808	26.6	626012	0.3	1.0	
199.03767	3549557	15.7	682105	0.1	0.6	
199.04343	9324407	44.4	662313	0.4	1.6	
199.04978	4914042	22.5	672320	0.2	0.8	
199.06119	5232511	24.0	660754	0.2	0.9	
199.09754	2561422	10.8	743297	0.1	0.4	
199.16897	9541548	45.4	708508	0.4	1.6	
199.17035	170493872	845.1	629385	8.1	28.6	
200.05642	3229476	14.1	673899	0.1	0.5	
200.09282	3187507	13.9	684977	0.1	0.5	
200.17370	23312726	113.9	632368	1.2	3.9	
201.04046	17257160	83.8	632450	0.8	2.9	
201.07685	4535001	20.6	602075	0.2	0.8	
201.11321	2522856	10.6	660951	0.1	0.4	
202.04046	2472826	10.3	612068	0.1	0.4	
202.94140	23600644	114.8	620019	1.2	4.0	
203.03496	3373101	14.7	719678	0.1	0.6	
203.03684	9776685	46.4	620023	0.5	1.6	
203.05610	7247414	33.9	654933	0.3	1.2	
203.07137	2598461	10.9	684093	0.1	0.4	
203.09250	5442118	25.0	647471	0.2	0.9	
205.01423	7451036	34.9	643224	0.3	1.3	
205.03537	36721060	179.7	621106	1.8	6.2	
205.05063	7337389	34.3	643476	0.3	1.2	
205.05249	7405997	34.7	601847	0.4	1.2	
205.07175	9000374	42.6	611947	0.4	1.5	
206.03872	3375466	14.7	623892	0.1	0.6	
206.99350	6920477	32.1	612777	0.3	1.2	
207.02989	16010542	76.9	617428	0.8	2.7	
207.05102	11810103	56.2	610251	0.6	2.0	
207.06627	39826752	194.1	608217	2.2	6.7	
207.08740	8146248	38.1	630577	0.4	1.4	
208.06962	4515596	20.3	647419	0.2	0.8	
208.97372	3753647	16.5	614727	0.2	0.6	
209.00916	7437504	34.7	621503	0.4	1.2	
209.01253	2756289	11.6	632196	0.1	0.5	
209.03027	7252169	33.7	660353	0.3	1.2	
209.04554	24029392	116.4	598608	1.3	4.0	
209.06666	8970458	42.2	634073	0.4	1.5	
209.08193	6357217	29.3	585634	0.3	1.1	
210.04889	2971302	12.7	603325	0.1	0.5	
211.02480	17931378	85.9	610988	0.9	3.0	
211.06118	15834243	75.6	600542	0.9	2.7	
211.09757	7764116	36.1	596205	0.4	1.3	
212.09281	8961645	42.0	611871	0.5	1.5	
213.00405	3351074	14.5	660766	0.1	0.6	
213.04045	9619507	45.2	613625	0.5	1.6	
213.07684	5646405	25.7	641536	0.3	0.9	
213.11322	3828823	16.8	642094	0.2	0.6	
215.03277	3719672	16.2	575559	0.2	0.6	
215.05610	8741891	40.7	585194	0.5	1.5	
215.09250	2919957	12.3	613486	0.1	0.5	
215.12887	3514919	15.2	614811	0.2	0.6	
217.01425	3749828	16.3	646559	0.2	0.6	
217.01608	2801093	11.7	612741	0.1	0.5	
217.03537	3344335	14.3	636847	0.2	0.6	
217.05064	4571607	20.3	552473	0.2	0.8	
217.05249	3912663	17.1	624557	0.2	0.7	
217.07176	4839393	21.6	629229	0.2	0.8	
217.10814	3363827	14.4	609938	0.2	0.6	
218.99349	3336092	14.3	643190	0.1	0.6	
219.02989	9245614	43.1	574578	0.5	1.6	
219.04933	11305911	53.2	616874	0.6	1.9	
219.05101	202648512	986.3	572862	11.6	34.0	
219.06627	7814080	36.1	590893	0.4	1.3	
219.08741	7969739	36.9	585727	0.4	1.3	
220.05437	18214320	86.4	587156	1.0	3.1	
221.00915	68513680	330.5	576905	3.9	11.5	
221.00959	5840785	26.4	984793	0.3	1.0	
221.04553	17088418	80.9	581295	1.1	2.9	
221.06623	8740781	40.4	1147574	0.3	1.5	
221.06667	96726960	467.4	574372	5.7	16.2	
221.08191	6903733	31.5	593612	0.4	1.2	
222.01251	7567756	34.7	573161	0.4	1.3	
222.07002	8146346	37.6	532090	0.5	1.4	
222.98841	25838460	123.4	570825	1.5	4.3	
222.98887	2777981	11.5	917625	0.1	0.5	
223.02480	29295504	140.2	565883	1.8	4.9	
223.02823	2789777	11.6	647824	0.1	0.5	
223.04593	9733018	45.3	578945	0.6	1.6	
223.06118	21488546	102.3	568369	1.4	3.6	
223.09758	3157941	13.4	601905	0.2	0.5	
223.99176	2424190	9.7	688611	0.1	0.4	
224.02817	3599248	15.4	560215	0.2	0.6	
224.06455	3001763	12.5	600311	0.1	0.5	
225.00406	6201222	28.0	589865	0.3	1.0	
225.00743	6367111	28.8	568410	0.4	1.1	
225.04045	69646232	334.2	560809	4.5	11.7	
225.04381	2815898	11.6	606682	0.1	0.5	
225.07684	19908522	94.1	564241	1.2	3.3	
225.18601	3604963	15.4	595587	0.2	0.6	
226.04379	7052702	32.1	565838	0.4	1.2	
226.08017	2789808	11.5	593521	0.1	0.5	
227.01972	4095895	17.8	600302	0.2	0.7	
227.05610	9761706	45.1	558680	0.6	1.6	
227.09249	5081021	22.6	600269	0.3	0.9	
227.10373	5123011	22.8	578738	0.3	0.9	
227.12889	2695632	11.0	615066	0.1	0.5	
227.20119	2644981	10.8	1182228	0.1	0.4	
227.20165	18508790	87.4	581271	1.1	3.1	
228.08773	3507650	15.0	606477	0.2	0.6	
228.20497	3536383	15.1	595388	0.2	0.6	
229.00235	7796639	35.5	597612	0.4	1.3	
229.03537	3439536	14.5	616405	0.2	0.6	
229.07175	14000067	65.2	558605	0.9	2.4	
229.10814	13270998	61.7	546495	0.8	2.2	
231.02991	3656133	15.6	563521	0.2	0.6	
231.05102	5821392	26.0	563150	0.3	1.0	
231.06626	3881944	16.7	603985	0.2	0.7	
231.08741	4345827	18.9	588507	0.2	0.7	
231.10265	4134891	17.9	609498	0.2	0.7	
231.12382	3053558	12.7	486744	0.2	0.5	
233.00915	11128791	51.4	556352	0.7	1.9	
233.01253	2758617	11.3	613286	0.1	0.5	
233.04554	9390058	43.1	527876	0.6	1.6	
233.06666	7159798	32.4	546218	0.4	1.2	
233.08192	4757502	20.9	516480	0.3	0.8	
233.08381	4551679	19.9	551191	0.3	0.8	
235.02480	35425280	167.1	543586	2.4	5.9	
235.02530	3752962	15.9	838687	0.2	0.6	
235.06119	10501141	48.1	551840	0.7	1.8	
235.08232	5677089	25.1	594748	0.3	1.0	
235.09755	3194408	13.3	561773	0.2	0.5	
236.02817	4405783	19.1	582924	0.2	0.7	
237.00407	15999005	74.4	526400	1.1	2.7	
237.04045	26701872	125.5	536759	1.9	4.5	
237.06159	14856252	68.9	554973	1.0	2.5	
237.07684	11925572	54.9	540360	0.8	2.0	
238.04380	2885191	11.8	648061	0.1	0.5	
238.89136	4088842	17.5	503517	0.3	0.7	
239.01972	42677328	201.7	537674	3.1	7.2	
239.02309	7038033	31.6	563263	0.4	1.2	
239.05559	6177890	27.5	983155	0.2	1.0	
239.05610	66229348	314.1	533512	4.8	11.1	
239.07724	3719278	15.8	538080	0.2	0.6	
239.09248	7826550	35.4	548891	0.5	1.3	
239.20171	2706608	10.9	501259	0.2	0.5	
240.02308	5075558	22.1	513883	0.3	0.9	
240.03360	4578924	19.8	551469	0.3	0.8	
240.05945	7175802	32.1	530566	0.5	1.2	
