m/z	I	S/N	Res.	I %	
143.10776	6999521	34.6	915084	1.5	
149.00916	11371656	57.4	862788	2.5	
149.04555	4077194	19.3	823839	0.9	
151.04007	8024819	39.9	848994	1.8	
153.01934	4323702	20.6	862880	0.9	
153.05573	3093625	14.2	840084	0.7	
155.03498	2754072	12.4	972673	0.6	
157.05062	5206233	25.2	821849	1.1	
157.12258	5343457	25.9	918022	1.2	
157.12340	78141152	406.1	798494	17.1	
158.12676	8026446	39.9	785746	1.8	
159.02990	8715190	43.5	809513	1.9	
159.06629	3291579	15.2	884107	0.7	
161.04555	30167226	155.4	790633	6.6	
161.04578	2993338	13.6	1443411	0.7	
162.03224	2648646	11.8	765349	0.6	
163.04007	5407711	26.2	804813	1.2	
165.04046	5264168	25.3	751182	1.2	
165.05571	6134570	29.9	770494	1.3	
166.02717	3929046	18.4	766095	0.9	
167.03498	10156178	50.6	755974	2.2	
169.01425	18550298	93.8	765921	4.1	
169.05062	4245026	19.9	751031	0.9	
170.99110	3683267	17.0	734372	0.8	
171.02989	3466956	15.9	723433	0.8	
171.06628	3854292	17.9	748054	0.8	
171.10267	6712796	32.7	728615	1.5	
171.13711	4325860	20.3	717196	0.9	
171.13806	29188068	148.7	793812	6.4	
171.13905	456843232	2356.9	731761	100.0	
172.14241	43663560	222.8	734648	9.6	
172.14268	3869897	17.9	1289242	0.8	
173.04554	5663646	27.2	760068	1.2	
173.08193	3488678	16.0	737666	0.8	
173.11831	6425007	31.1	749808	1.4	
175.02479	2507398	10.9	814123	0.5	
175.06119	6560655	31.7	722911	1.4	
177.01933	7367056	35.8	696651	1.6	
177.04046	27952534	141.5	720408	6.1	
177.04075	2663829	11.7	1280068	0.6	
177.05572	10030489	49.5	716115	2.2	
178.99857	3093938	13.9	855579	0.7	
179.03497	9627581	47.3	713860	2.1	
179.05503	4899779	23.1	783150	1.1	
179.05611	82339776	419.4	697957	18.0	
179.07137	3464135	15.7	758571	0.8	
180.05947	5834979	27.9	743135	1.3	
181.01425	6614524	31.8	716493	1.4	
