m/z	I	S/N	Res.	I %	
150.49954	3105786	14.2	846067	2.3	
156.55413	2436569	10.7	894558	1.8	
161.02443	2402807	10.5	779665	1.8	
161.06077	2852861	12.8	593625	2.1	
163.04005	3722791	17.3	615577	2.8	
165.05573	4552827	21.5	576056	3.4	
167.03499	3491821	16.0	754188	2.6	
169.06595	2573196	11.2	729252	1.9	
170.55453	7101139	34.4	774634	5.3	
170.55558	3082963	13.8	700737	2.3	
171.04516	3929922	18.2	727285	3.0	
173.06085	4861219	22.9	699253	3.6	
175.04011	6460187	30.9	565656	4.8	
175.07649	4017956	18.5	645138	3.0	
176.10633	9804855	47.9	734216	7.4	
177.01938	3136050	14.0	693914	2.4	
177.05576	7681852	37.1	558473	5.8	
179.03503	6170482	29.3	543349	4.6	
179.07141	4230781	19.5	547506	3.2	
180.00060	3436689	15.5	696332	2.6	
181.05064	7487441	35.9	553594	5.6	
183.04515	3103816	13.7	572291	2.3	
185.06083	5804770	27.2	499210	4.4	
187.04007	6556556	31.0	532211	4.9	
187.07646	6370712	30.1	554096	4.8	
188.04789	3072497	13.4	538947	2.3	
189.05571	11293789	54.6	511465	8.5	
189.09213	2928490	12.7	588780	2.2	
191.03496	7025468	33.1	502158	5.3	
191.07135	8218442	39.0	562096	6.2	
193.00834	2777522	11.9	455479	2.1	
193.05061	9822786	47.0	524826	7.4	
193.08704	3508816	15.5	463279	2.6	
195.02981	2488659	10.4	593944	1.9	
195.04511	5439321	25.1	483273	4.1	
195.06624	7066466	33.1	494012	5.3	
197.04546	5212810	23.9	431386	3.9	
197.06077	6350993	29.6	503239	4.8	
199.04000	6979536	32.5	558574	5.2	
199.07644	6955488	32.4	510586	5.2	
200.04788	2732672	11.6	465347	2.1	
201.05570	12145462	58.1	510906	9.1	
201.09205	3990854	17.8	523869	3.0	
202.02711	2411745	9.9	656217	1.8	
203.03495	7666849	35.8	428244	5.8	
203.07133	11162289	53.0	476967	8.4	
204.00051	2794836	11.8	552064	2.1	
204.04279	2719079	11.4	503156	2.0	
205.05060	10121778	47.8	436332	7.6	
205.08698	5460035	24.9	451468	4.1	
207.02984	2772934	11.6	612716	2.1	
