m/z	I	S/N	Res.	A %	
150.49951	6924988	34.0	874595	1.0	
150.50031	3138236	14.3	934574	0.4	
161.02438	2818759	12.7	831017	0.4	
161.54920	2727955	12.1	809280	0.4	
163.04003	3671802	17.0	622976	0.7	
165.05569	4136531	19.4	640862	0.8	
167.03490	3334089	15.2	627727	0.6	
170.55451	7020473	34.0	790457	1.2	
170.55555	3329465	15.1	777617	0.5	
173.06077	3656720	16.7	528553	0.9	
175.04009	5372430	25.4	563765	1.2	
176.10633	9202990	44.9	747635	1.7	
177.01937	3215915	14.4	717548	0.6	
177.05575	5820470	27.7	480603	1.5	
179.03500	4494195	20.8	492816	1.2	
179.07138	3235965	14.5	760285	0.6	
181.05062	6195033	29.4	451877	1.9	
185.06077	4679159	21.6	553367	1.2	
187.04010	5998249	28.2	618830	1.4	
187.07647	4190901	19.1	595082	1.0	
188.04792	2594322	11.1	560592	0.6	
189.05571	7652226	36.4	423949	2.6	
191.03496	5876584	27.4	482174	1.8	
191.05606	2953712	12.8	457329	0.8	
191.07131	5783670	26.9	475582	1.7	
192.04273	2441963	10.2	580493	0.5	
193.05057	7635317	36.2	495586	2.3	
193.08702	2789252	12.0	543595	0.7	
194.05832	2596102	11.0	614671	0.6	
195.04517	3049620	13.2	431202	0.9	
195.06623	7260316	34.1	456275	2.3	
197.04546	8067532	38.2	493601	2.5	
197.06070	5359571	24.7	507997	1.6	
199.03999	5249818	24.0	557241	1.4	
199.07637	4509994	20.4	452673	1.5	
201.05561	8812679	41.7	458689	3.1	
201.09202	3102999	13.4	455270	0.9	
202.06353	2702918	11.4	648062	0.6	
203.03491	6830073	31.7	488321	2.2	
203.07129	8576522	40.3	448218	3.0	
204.00049	2751407	11.6	492179	0.7	
205.05053	9173905	43.2	422534	3.4	
205.08699	4196258	18.7	509395	1.2	
207.02987	3311148	14.3	495404	1.0	
207.06618	8012605	37.3	424967	3.0	
209.04548	4113643	18.2	496948	1.2	
209.06074	5324530	24.1	464760	1.8	
209.08182	3844860	16.9	558689	1.1	
211.04000	4881842	21.9	411428	1.8	
211.06114	5209789	23.5	447434	1.9	
211.07634	5484228	24.8	383813	2.2	
212.04781	3296418	14.1	472529	1.0	
213.05565	9345173	43.6	414241	3.7	
213.09205	4716200	21.0	495914	1.4	
214.06341	3217037	13.7	469101	1.0	
215.03488	5147767	23.0	447507	1.8	
215.07128	11358857	53.2	459972	4.5	
215.84586	2795539	11.6	482573	0.8	
216.04280	2618999	10.8	444188	0.9	
217.05056	8942203	41.4	389732	3.9	
217.08708	5271694	23.6	566379	1.3	
218.05832	3278467	14.0	563109	0.9	
219.02986	3892860	16.9	493434	1.4	
219.04498	2780804	11.5	651007	0.7	
219.06622	10091151	47.0	423928	4.3	
219.08141	2822807	11.7	548454	0.8	
219.10252	2712738	11.2	457054	0.8	
221.04544	5317277	23.7	411067	2.1	
221.06076	4946598	21.9	466015	1.7	
221.06660	5706409	25.6	465659	2.0	
221.08182	7198385	32.8	416017	2.8	
222.06847	2624187	10.7	615725	0.7	
223.04001	3317953	14.1	408992	1.3	
223.06116	7439053	33.9	459451	2.8	
223.07639	6348501	28.7	446907	2.4	
223.09757	2781920	11.5	427066	0.9	
